t = tour count (number of tours/days)
N = number of POIs
i = ID
x = x coordinate
y = y coordinate
d = duration
s = score
o = opening time
c = closing time

t N
2 100

0 40.0 50.0 0.0 0.0 0 1236		// hotel

i x    y    d    s    o   c   
2 45.0 68.0 90.0 10.0 830 1049
3 45.0 70.0 90.0 30.0 756 939
4 42.0 66.0 90.0 10.0 16 336
5 42.0 68.0 90.0 10.0 643 866
6 42.0 65.0 90.0 10.0 15 226
7 40.0 69.0 90.0 20.0 499 824
8 40.0 66.0 90.0 20.0 87 308
9 38.0 68.0 90.0 20.0 150 429
10 38.0 70.0 90.0 10.0 429 710
11 35.0 66.0 90.0 10.0 279 488
12 35.0 69.0 90.0 10.0 363 590
13 25.0 85.0 90.0 20.0 547 826
14 22.0 75.0 90.0 30.0 30 280
15 22.0 85.0 90.0 10.0 489 698
16 20.0 80.0 90.0 40.0 318 495
17 20.0 85.0 90.0 40.0 394 609
18 18.0 75.0 90.0 20.0 33 226
19 15.0 75.0 90.0 20.0 68 365
20 15.0 80.0 90.0 10.0 176 447
21 30.0 50.0 90.0 10.0 10 265
22 30.0 52.0 90.0 20.0 836 1043
23 28.0 52.0 90.0 20.0 704 991
24 28.0 55.0 90.0 10.0 664 845
25 25.0 50.0 90.0 10.0 15 333
26 25.0 52.0 90.0 40.0 88 305
27 25.0 55.0 90.0 10.0 502 821
28 23.0 52.0 90.0 10.0 179 398
29 23.0 55.0 90.0 20.0 476 663
30 20.0 50.0 90.0 10.0 288 475
31 20.0 55.0 90.0 10.0 368 585
32 10.0 35.0 90.0 20.0 144 293
33 10.0 40.0 90.0 30.0 31 309
34 8.0 40.0 90.0 40.0 33 313
35 8.0 45.0 90.0 20.0 655 912
36 5.0 35.0 90.0 10.0 191 436
37 5.0 45.0 90.0 10.0 588 793
38 2.0 40.0 90.0 20.0 305 512
39 0.0 40.0 90.0 30.0 414 587
40 0.0 45.0 90.0 20.0 481 710
41 35.0 30.0 90.0 10.0 180 405
42 35.0 32.0 90.0 10.0 63 338
43 33.0 32.0 90.0 20.0 19 345
44 33.0 35.0 90.0 10.0 16 273
45 32.0 30.0 90.0 10.0 278 493
46 30.0 30.0 90.0 10.0 453 688
47 30.0 32.0 90.0 30.0 355 602
48 30.0 35.0 90.0 10.0 837 1127
49 28.0 30.0 90.0 10.0 539 786
50 28.0 35.0 90.0 10.0 867 1126
51 26.0 32.0 90.0 10.0 719 976
52 25.0 30.0 90.0 10.0 635 876
53 25.0 35.0 90.0 10.0 825 1056
54 44.0 5.0 90.0 20.0 193 440
55 42.0 10.0 90.0 40.0 78 365
56 42.0 15.0 90.0 10.0 35 287
57 40.0 5.0 90.0 30.0 308 513
58 40.0 15.0 90.0 40.0 35 246
59 38.0 5.0 90.0 30.0 376 629
60 38.0 15.0 90.0 10.0 519 872
61 35.0 5.0 90.0 20.0 463 728
62 50.0 30.0 90.0 10.0 412 729
63 50.0 35.0 90.0 20.0 181 398
64 50.0 40.0 90.0 50.0 100 289
65 48.0 30.0 90.0 10.0 539 786
66 48.0 40.0 90.0 10.0 12 223
67 47.0 35.0 90.0 10.0 753 948
68 47.0 40.0 90.0 10.0 12 275
69 45.0 30.0 90.0 10.0 669 842
70 45.0 35.0 90.0 10.0 836 1049
71 95.0 30.0 90.0 30.0 284 559
72 95.0 35.0 90.0 20.0 194 459
73 53.0 30.0 90.0 10.0 367 588
74 92.0 30.0 90.0 10.0 370 659
75 53.0 35.0 90.0 50.0 263 502
76 45.0 65.0 90.0 20.0 847 1130
77 90.0 35.0 90.0 10.0 119 344
78 88.0 30.0 90.0 10.0 469 748
79 88.0 35.0 90.0 20.0 50 295
80 87.0 30.0 90.0 10.0 573 826
81 85.0 25.0 90.0 10.0 694 895
82 85.0 35.0 90.0 30.0 47 356
83 75.0 55.0 90.0 20.0 293 496
84 72.0 55.0 90.0 10.0 154 449
85 70.0 58.0 90.0 20.0 360 621
86 68.0 60.0 90.0 30.0 470 697
87 66.0 55.0 90.0 10.0 76 335
88 65.0 55.0 90.0 20.0 25 260
89 65.0 60.0 90.0 30.0 551 802
90 63.0 58.0 90.0 10.0 640 899
91 60.0 55.0 90.0 10.0 20 276
92 60.0 60.0 90.0 10.0 756 969
93 67.0 85.0 90.0 20.0 257 552
94 65.0 85.0 90.0 40.0 409 584
95 65.0 82.0 90.0 10.0 209 412
96 62.0 80.0 90.0 30.0 130 305
97 60.0 80.0 90.0 10.0 36 283
98 60.0 85.0 90.0 30.0 470 713
99 58.0 75.0 90.0 20.0 30 248
100 55.0 80.0 90.0 10.0 628 935
101 55.0 85.0 90.0 20.0 530 843
